GEOID,COUNTY,STATE,DISASTER_COUNT_2011_2024,STATE_DISASTER_COUNT,FEMA_PA_HM,FEMA_PER_CAPITA,POPULATION,CDC_SVI_2022,OMB_CLASS,SAIDI_MIN_AVG,SAIDI_MIN_MAX,PCT_POP_60PLUS,AGE_CLASS,PCT_MINORITY,HEAT_NRI,COMPOUND_RISK_COUNT_NATL,NRI_POP_2020,NRI_AREA_SQMI,NRI_BUILDING_VALUE,NRI_AGRICULTURE_VALUE,NRI_SCORE_COMPOSITE,NRI_RATING_COMPOSITE,NRI_EAL_TOTAL_COMPOSITE,NRI_SOVI_SCORE,NRI_SOVI_RATING,NRI_RESILIENCE_SCORE,NRI_RESILIENCE_RATING,FLOOD_RISK_SCORE,FLOOD_RISK_RATING,FLOOD_EAL_TOTAL,FLOOD_EAL_SCORE,FLOOD_EAL_RATING,FLOOD_EAL_NATL_PCTILE,FLOOD_EVENTS,FLOOD_ANNUAL_FREQ,FLOOD_IMPACTED_AREA_SQMI,FLOOD_EXPOSURE_TOTAL,FLOOD_HIST_LOSS_RATING,SFHA_AREA_SQMI,PCT_COUNTY_IN_SFHA,BUYOUTS_TOTAL,BUYOUTS_FEMA,BUYOUTS_USACE,BUYOUTS_NRCS,BUYOUTS_HUD,BUYOUTS_COMMUNITY,BUYOUT_YEAR_MIN,BUYOUT_YEAR_MAX,REPETITIVE_LOSS_AREAS,REPETITIVE_LOSS_STREAMS,PRIMARY_WATERSHED,PRIMARY_HUC8,BASIN,SPANS_BOTH_BASINS,ALL_WATERSHEDS
54061,Monongalia,West Virginia,4,23,38962,0,105988,0.33,Urban,647.0,777,18.2,Below Average,12.8,13.1,0,105598,369.57,25002321612,6469325,71.53,Relatively Low,36322628,18.45,Very Low,83.87,Very High,84.99,Relatively Moderate,31357089,87.93,Relatively Moderate,85.95,58,2.071,28.97,52840907186,Relatively High,9.57,2.62,6,6,0,0,0,0,1998,2000,0,,Upper Monongahela,05020003,Ohio River,N,Upper Monongahela; Lower Monongahela; Cheat; Tygart Valley
54063,Monroe,West Virginia,2,23,4076977,328,12438,0.39,Rural,707.7,950,33.6,Aged County,5.7,0.4,1,12370,478.42,3512009661,29023805,28.28,Very Low,6322332,84.0,Very High,14.66,Very Low,49.27,Relatively Low,4376591,41.43,Relatively Low,85.24,35,1.25,17.21,10106318896,Relatively High,8.14,1.72,23,8,0,0,0,15,1980,2013,0,,Middle New,05050002,Ohio River,Y,Middle New; Greenbrier; Upper James
54065,Morgan,West Virginia,1,23,99153,6,17237,0.18,Rural,200.7,214,33.1,Aged County,6.2,38.1,0,17057,231.93,3870353097,4221996,30.44,Very Low,7667752,71.6,Relatively High,36.29,Relatively Low,55.88,Relatively Low,6138444,51.79,Relatively Low,85.12,46,1.643,12.43,12441300429,Relatively High,9.25,4.03,17,14,0,0,0,3,2013,2016,9,Cacapon River; Potomac River; Warm Spring Run,Conococheague-Opequon,02070004,Chesapeake Bay,N,Conococheague-Opequon; Cacapon-Town
54067,Nicholas,West Virginia,5,23,29937575,1216,24624,0.28,Rural,707.7,950,32.1,Aged County,3.4,2.6,0,24584,661.01,5973655937,3975856,58.17,Relatively Low,14218441,82.67,Very High,40.39,Relatively Moderate,67.05,Relatively Low,8274268,60.89,Relatively Low,90.16,34,1.214,16.67,25878758386,Relatively Moderate,17.74,2.71,14,14,0,0,0,0,1998,2013,5,Cherry River; North Fork Cherry River,Gauley,05050005,Ohio River,N,Gauley; Elk
54069,Ohio,West Virginia,5,23,1363158,32,42224,0.47,Rural,607.7,950,30.4,Aged County,9.0,12.3,0,42418,110.13,9894801556,3487630,69.82,Relatively Low,31538701,27.64,Relatively Low,94.85,Very High,85.31,Relatively Moderate,29501434,87.25,Relatively Moderate,99.57,39,1.393,12.15,95915936898,Relatively Moderate,5.66,5.19,4,4,0,0,0,0,2006,2006,0,,Upper Ohio-Wheeling,05030106,Ohio River,N,Upper Ohio-Wheeling
54071,Pendleton,West Virginia,4,23,32162,5,6156,0.27,Rural,336.5,744,37.3,Super-Aged,5.6,2.5,1,6135,705.19,2374470854,128629293,30.12,Very Low,9802316,37.21,Relatively Low,25.13,Relatively Low,58.46,Relatively Low,8588702,62.07,Relatively Low,97.46,33,1.179,21.33,10430957048,Very High,19.63,2.81,0,0,0,0,0,0,,,0,,South Branch Potomac,02070001,Chesapeake Bay,N,South Branch Potomac
54073,Pleasants,West Virginia,4,23,44970,6,7622,0.43,Rural,535.0,744,25.4,Aging County,4.6,40.5,1,7647,135.91,1369512052,1478900,20.26,Very Low,5611058,76.3,Relatively High,67.3,Relatively High,50.03,Relatively Low,5128454,46.57,Relatively Low,99.91,25,0.893,5.43,8258791161,Relatively High,8.58,6.38,0,0,0,0,0,0,,,0,,Little Musringum-Middle Island,05030201,Ohio River,N,Little Musringum-Middle Island
54075,Pocahontas,West Virginia,3,23,96990,12,7940,0.55,Rural,744.0,744,36.7,Super-Aged,5.3,0.0,0,7845,951.33,2324316586,11025159,27.54,Very Low,6776494,76.53,Relatively High,36.2,Relatively Low,54.23,Relatively Low,5570744,49.04,Relatively Low,98.39,38,1.357,14.85,13099733019,Relatively High,19.2,2.04,6,6,0,0,0,0,1998,1999,2,Greenbrier River (Lower Reach); Knapp Creek,Greenbrier,05050003,Ohio River,N,Greenbrier; Gauley; Elk; Cheat
54077,Preston,West Virginia,7,23,1128780,33,34206,0.46,Rural,395.8,744,27.6,Aging County,11.4,5.6,0,34212,657.96,6202438375,20793313,33.84,Very Low,9143963,60.72,Relatively High,37.21,Relatively Low,59.57,Relatively Low,7522016,57.95,Relatively Low,83.04,56,2.0,22.35,21432980143,Relatively Moderate,12.87,1.98,0,0,0,0,0,0,,,0,,Cheat,05020004,Ohio River,N,Cheat; Tygart Valley; Youghiogheny; Upper Monongahela
54079,Putnam,West Virginia,4,23,296345,5,57347,0.08,Urban,689.5,950,27.0,Aging County,5.6,88.4,1,57374,353.94,11853963521,9428112,74.01,Relatively Low,33790019,34.45,Relatively Low,58.94,Relatively Moderate,86.9,Relatively Moderate,29906532,87.41,Relatively Moderate,98.67,64,2.286,28.03,73863913702,Relatively Moderate,18.2,5.19,2,2,0,0,0,0,2005,2017,0,,Lower Kanawha,05050008,Ohio River,N,Lower Kanawha; Lower Guyandotte; Raccoon-Symmes
54081,Raleigh,West Virginia,3,23,793422,11,74303,0.79,Urban,707.7,950,28.3,Aging County,12.8,2.9,1,74558,615.5,15023795864,3881825,65.52,Relatively Low,19984036,67.27,Relatively High,38.45,Relatively Low,80.92,Relatively Moderate,16486472,77.41,Relatively Moderate,62.44,47,1.679,33.19,61050608835,Relatively Moderate,13.49,2.21,23,23,0,0,0,0,2017,2017,0,,Lower New,05050004,Ohio River,N,Lower New; Coal; Upper Guyandotte; Upper Kanawha
54083,Randolph,West Virginia,6,23,3697968,132,28005,0.52,Rural,387.7,744,30.9,Aged County,8.8,0.2,0,27919,1050.46,5664069760,10199087,57.06,Relatively Low,18737321,42.24,Relatively Moderate,43.38,Relatively Moderate,78.31,Relatively Moderate,17584923,78.71,Relatively Moderate,94.93,56,2.0,24.5,33740534909,Relatively High,39.28,3.78,35,35,0,0,0,0,1994,2012,0,,Tygart Valley,05020001,Ohio River,N,Tygart Valley; Cheat; Elk
54085,Ritchie,West Virginia,5,23,55840,7,8507,0.26,Rural,744.0,744,32.3,Aged County,3.3,27.6,0,8441,458.28,1974488841,12386002,16.13,Very Low,5944877,45.71,Relatively Moderate,58.27,Relatively Moderate,44.43,Relatively Low,5333405,47.93,Relatively Low,96.5,45,1.607,11.31,7466664001,Very High,9.65,2.13,0,0,0,0,0,0,,,0,,Little Kanawha,05030203,Ohio River,N,Little Kanawha
54087,Roane,West Virginia,9,23,3260288,232,14027,0.61,Rural,707.7,950,32.1,Aged County,4.6,48.4,0,14013,488.6,2612086096,8304962,45.01,Relatively Low,9886977,82.79,Very High,23.28,Relatively Low,69.18,Relatively Low,8777733,62.47,Relatively Low,92.08,63,2.25,14.56,21935548834,Relatively Moderate,6.93,1.43,50,0,0,0,50,0,2000,2000,0,,Little Kanawha,05030203,Ohio River,N,Little Kanawha; Lower Kanawha; Elk; Upper Ohio-Shade
54089,Summers,West Virginia,4,23,379819,32,11985,0.68,Rural,707.7,950,36.4,Super-Aged,8.5,0.7,0,11935,371.44,2452152903,4521718,40.24,Very Low,8157585,88.9,Very High,19.21,Very Low,59.64,Relatively Low,5803847,50.15,Relatively Low,98.79,25,0.893,11.43,11093420734,Relatively High,18.86,5.13,4,4,0,0,0,0,2000,2000,3,Greenbrier River,Middle New,05050002,Ohio River,N,Middle New; Lower New; Greenbrier; Gauley
54091,Taylor,West Virginia,5,23,25808,2,16602,0.35,Rural,744.0,744,28.1,Aging County,4.5,10.3,0,16689,177.45,3082206196,4426975,23.51,Very Low,7752248,44.75,Relatively Moderate,53.09,Relatively Moderate,53.53,Relatively Low,6975502,56.0,Relatively Low,98.33,32,1.143,9.36,10030766203,Very High,6.28,3.58,2,2,0,0,0,0,2014,2014,0,,Tygart Valley,05020001,Ohio River,N,Tygart Valley; West Fork; Upper Monongahela
54093,Tucker,West Virginia,5,23,822915,122,6747,0.26,Rural,387.7,744,37.1,Super-Aged,2.9,1.9,0,6762,425.34,1739477860,2442606,12.56,Very Low,4527295,63.93,Relatively High,60.81,Relatively High,39.63,Relatively Low,3992258,38.58,Very Low,98.08,33,1.179,8.36,10994146525,Relatively Moderate,19.0,4.51,50,50,0,0,0,0,1999,2001,0,,Cheat,05020004,Ohio River,N,Cheat; Tygart Valley
54095,Tyler,West Virginia,7,23,347315,42,8336,0.13,Rural,615.7,777,33.4,Aged County,3.6,29.6,1,8299,263.33,1859884955,3172284,35.59,Very Low,7124378,95.55,Very High,45.55,Relatively Moderate,63.01,Relatively Low,6251641,52.48,Relatively Low,99.6,61,2.179,9.62,15544165347,Relatively Moderate,14.9,5.71,0,0,0,0,0,0,,,0,,Little Musringum-Middle Island,05030201,Ohio River,N,Little Musringum-Middle Island
54097,Upshur,West Virginia,4,23,1947775,82,23875,0.6,Rural,744.0,744,29.3,Aging County,6.1,4.3,0,23791,358.34,4292576319,6179469,44.85,Relatively Low,11640888,65.11,Relatively High,44.02,Relatively Moderate,68.38,Relatively Low,10082260,65.84,Relatively Low,97.93,50,1.786,15.8,32992828601,Relatively Moderate,7.51,2.12,48,48,0,0,0,0,1998,2005,0,,Tygart Valley,05020001,Ohio River,N,Tygart Valley; Little Kanawha; West Fork
54099,Wayne,West Virginia,9,23,1129754,29,38933,0.37,Rural,605.8,950,29.7,Aging County,3.9,92.5,1,38938,517.28,7160455971,2166713,79.8,Relatively Low,30865036,75.57,Relatively High,25.25,Relatively Low,89.19,Relatively Moderate,26365596,85.86,Relatively Moderate,96.57,64,2.286,21.7,67212396309,Relatively Moderate,19.59,3.83,87,15,11,0,0,61,1999,2020,0,,Twelvepole,05090102,Ohio River,N,Twelvepole; Tug; Big Sandy; Raccoon-Symmes
54101,Webster,West Virginia,5,23,3350376,401,8362,0.49,Rural,744.0,744,34.1,Aged County,7.0,0.7,0,8359,561.84,1419949895,582011,35.27,Very Low,6323430,98.41,Very High,9.48,Very Low,60.46,Relatively Low,5163810,46.84,Relatively Low,99.32,43,1.536,8.72,31364190198,Relatively Low,14.18,2.55,0,0,0,0,0,0,,,0,,Elk,05050007,Ohio River,N,Elk; Gauley; Little Kanawha
54103,Wetzel,West Virginia,7,23,2029407,141,14431,0.32,Rural,598.1,950,29.8,Aging County,4.3,21.7,1,14420,364.98,3068969737,1664053,56.9,Relatively Low,16153280,63.23,Relatively High,66.83,Relatively High,78.28,Relatively Moderate,15239947,75.84,Relatively Low,97.68,38,1.357,10.7,40701633781,Relatively Moderate,10.1,2.8,14,14,0,0,0,0,2006,2007,0,,Little Musringum-Middle Island,05030201,Ohio River,N,Little Musringum-Middle Island; Upper Ohio-Wheeling
54105,Wirt,West Virginia,4,23,19844,4,5202,0.26,Rural,744.0,744,32.7,Aged County,3.6,38.7,0,5184,237.14,1047738371,2949475,9.03,Very Low,3909281,54.68,Relatively Moderate,21.28,Relatively Low,35.5,Relatively Low,3632170,35.77,Very Low,99.88,20,0.714,8.36,9439087680,Relatively Moderate,10.56,4.5,0,0,0,0,0,0,,,0,,Little Kanawha,05030203,Ohio River,N,Little Kanawha; Upper Ohio-Shade
54107,Wood,West Virginia,6,23,3413246,41,84272,0.39,Urban,535.0,744,29.3,Aging County,5.6,37.0,0,84238,380.57,18382987350,8081940,79.83,Relatively Low,36823280,58.62,Relatively Moderate,88.45,Very High,89.6,Relatively Moderate,33065029,88.43,Relatively Moderate,94.15,53,1.893,41.89,79068477456,Relatively Moderate,31.65,8.4,81,38,0,0,0,43,1988,2021,0,,Little Kanawha,05030203,Ohio River,N,Little Kanawha; Upper Ohio-Shade; Little Musringum-Middle Island
54109,Wyoming,West Virginia,3,23,389885,18,21237,0.52,Rural,689.5,950,31.1,Aged County,3.4,6.8,1,21372,506.88,3514137705,119505,67.37,Relatively Low,18913182,76.56,Relatively High,7.41,Very Low,82.7,Relatively Moderate,15780314,76.55,Relatively Moderate,97.18,32,1.143,9.64,46216002808,Relatively Moderate,7.39,1.47,263,222,0,7,7,27,1992,2014,4,Clear Fork; Guyandotte River; Laurel Fork,Upper Guyandotte,05070101,Ohio River,N,Upper Guyandotte
